KEY,+[eE],+[uU],+[iI],+[aA],+[iI][eE],_,+[oO],+[oO][aA],+[uU][eE],+[uU][uU],+[uU][iI],+[uU][aA],+[uU][iI][eE]
[hH],ሀ,ሁ,ሂ,ሃ,ሄ,ህ,ሆ,ሇ, , , , , 
[lL],ለ,ሉ,ሊ,ላ,ሌ,ል,ሎ,ⶀ, , , , , 
[mM],መ,ሙ,ሚ,ማ,ሜ,ም,ሞ,ⶁ, , , , , 
[rR],ረ,ሩ,ሪ,ራ,ሬ,ር,ሮ,ⶂ, , , , , 
s,ሰ,ሱ,ሲ,ሳ,ሴ,ስ,ሶ,ⶃ, , , , , 
[xX],ሸ,ሹ,ሺ,ሻ,ሼ,ሽ,ሾ,ⶄ, , , , , 
[qQ],ቀ,ቁ,ቂ,ቃ,ቄ,ቅ,ቆ,ቇ, , , , , 
[bB],በ,ቡ,ቢ,ባ,ቤ,ብ,ቦ,ⶅ, , , , , 
t,ተ,ቱ,ቲ,ታ,ቴ,ት,ቶ,ⶆ, , , , , 
c,ቸ,ቹ,ቺ,ቻ,ቼ,ች,ቾ,ⶇ, , , , , 
[fF],ኀ,ኁ,ኂ,ኃ,ኄ,ኅ,ኆ,ኇ, , , , , 
hh,ኀ,ኁ,ኂ,ኃ,ኄ,ኅ,ኆ,ኇ, , , , , 
n,ነ,ኑ,ኒ,ና,ኔ,ን,ኖ,ⶈ, , , , , 
N,ኘ,ኙ,ኚ,ኛ,ኜ,ኝ,ኞ,ⶉ, , , , , 
a,አ,ኡ,ኢ,ኣ,ኤ,እ,ኦ,ⶊ, , , , , 
[kK],ከ,ኩ,ኪ,ካ,ኬ,ክ,ኮ,ኯ, , , , , 
[wW],ወ,ዉ,ዊ,ዋ,ዌ,ው,ዎ,ዏ, , , , , 
[zZ],ዘ,ዙ,ዚ,ዛ,ዜ,ዝ,ዞ,ⶋ, , , , , 
[yY],የ,ዩ,ዪ,ያ,ዬ,ይ,ዮ,ዯ, , , , , 
d,ደ,ዱ,ዲ,ዳ,ዴ,ድ,ዶ,ⶌ, , , , , 
D,ዸ,ዹ,ዺ,ዻ,ዼ,ዽ,ዾ,ⶍ, , , , , 
[jJ],ጀ,ጁ,ጂ,ጃ,ጄ,ጅ,ጆ,ⶎ, , , , , 
[gG],ገ,ጉ,ጊ,ጋ,ጌ,ግ,ጎ,ጏ, , , , , 
T,ጠ,ጡ,ጢ,ጣ,ጤ,ጥ,ጦ,ⶏ, , , , , 
C,ጨ,ጩ,ጪ,ጫ,ጬ,ጭ,ጮ,ⶐ, , , , , 
P,ጰ,ጱ,ጲ,ጳ,ጴ,ጵ,ጶ,ⶑ, , , , , 
p,ፐ,ፑ,ፒ,ፓ,ፔ,ፕ,ፖ,ⶒ, , , , , 
S,ፀ,ፁ,ፂ,ፃ,ፄ,ፅ,ፆ,ፇ, , , , , 
ee, , , , , ,ዕ, , , , , , , 
e,,,,,,እ,,,,,,,
i,ኤ,,,,,ኢ,,,,,,,
o,,,,,,ኦ,,,,,,,
u,,,,,,ኡ,,,,,,,
