KEY,+[eE],+[uU],+[iI],+[aA],+[iI][eE],_,+[oO],+[oO][aA],+[uU][eE],+[uU][uU],+[uU][iI],+[uU][aA],+[uU][iI][eE]
[hH],ኸ,ኹ,ኺ,ኻ,ኼ,ኽ,ኾ, ,ዀ,ዅ,ዂ,ዃ,ዄ
KY,ⷐ,ⷑ,ⷒ,ⷓ,ⷔ,ⷕ,ⷖ, , , , , , 
[lL],ለ,ሉ,ሊ,ላ,ሌ,ል,ሎ, , , , ,ሏ, 
[mM],መ,ሙ,ሚ,ማ,ሜ,ም,ሞ, ,ᎀ,ᎃ,ᎁ,ሟ,ᎂ
[rR],ረ,ሩ,ሪ,ራ,ሬ,ር,ሮ, , , , ,ሯ, 
s,ሰ,ሱ,ሲ,ሳ,ሴ,ስ,ሶ, , , , ,ሷ, 
[xX],ሸ,ሹ,ሺ,ሻ,ሼ,ሽ,ሾ, , , , ,ሿ, 
[qQ],ቀ,ቁ,ቂ,ቃ,ቄ,ቅ,ቆ, ,ቈ,ቍ,ቊ,ቋ,ቌ
[qQ]Y,ⷀ,ⷁ,ⷂ,ⷃ,ⷄ,ⷅ,ⷆ, , , , , , 
[bB],በ,ቡ,ቢ,ባ,ቤ,ብ,ቦ, ,ᎄ,ᎇ,ᎅ,ቧ,ᎆ
t,ተ,ቱ,ቲ,ታ,ቴ,ት,ቶ, , , , ,ቷ, 
c,ቸ,ቹ,ቺ,ቻ,ቼ,ች,ቾ, , , , ,ቿ, 
n,ነ,ኑ,ኒ,ና,ኔ,ን,ኖ, , , , ,ኗ, 
N,ኘ,ኙ,ኚ,ኛ,ኜ,ኝ,ኞ, , , , ,ኟ, 
a,ኧ,ኡ,ኢ,አ,ኤ,እ,ኦ, , , , , , 
[kK],ከ,ኩ,ኪ,ካ,ኬ,ክ,ኮ, ,ኰ,ኵ,ኲ,ኳ,ኴ
kY,ⷈ,ⷉ,ⷊ,ⷋ,ⷌ,ⷍ,ⷎ, , , , , , 
[wW],ወ,ዉ,ዊ,ዋ,ዌ,ው,ዎ, , , , , , 
z,ዘ,ዙ,ዚ,ዛ,ዜ,ዝ,ዞ, , , , ,ዟ, 
Z,ዠ,ዡ,ዢ,ዣ,ዤ,ዥ,ዦ, , , , ,ዧ, 
[yY],የ,ዩ,ዪ,ያ,ዬ,ይ,ዮ, , , , , , 
[dD],ደ,ዱ,ዲ,ዳ,ዴ,ድ,ዶ, , , , ,ዷ, 
[jJ],ጀ,ጁ,ጂ,ጃ,ጄ,ጅ,ጆ, , , , ,ጇ, 
[gG],ገ,ጉ,ጊ,ጋ,ጌ,ግ,ጎ, ,ጐ,ጕ,ጒ,ጓ,ጔ
[gG]Y,ⷘ,ⷙ,ⷚ,ⷛ,ⷜ,ⷝ,ⷞ, , , , , , 
T,ጠ,ጡ,ጢ,ጣ,ጤ,ጥ,ጦ, , , , ,ጧ, 
C,ጨ,ጩ,ጪ,ጫ,ጬ,ጭ,ጮ, , , , ,ጯ, 
P,ጰ,ጱ,ጲ,ጳ,ጴ,ጵ,ጶ, , , , ,ጷ, 
S,ፀ,ፁ,ፂ,ፃ,ፄ,ፅ,ፆ, , , , , , 
[fF],ፈ,ፉ,ፊ,ፋ,ፌ,ፍ,ፎ, ,ᎈ,ᎉ,ᎋ,ፏ,ᎊ
p,ፐ,ፑ,ፒ,ፓ,ፔ,ፕ,ፖ, ,ᎌ,ᎍ,ᎏ,ፗ,ᎎ
e,,,,,,እ,,,,,,,
i,ኤ,,,,,ኢ,,,,,,,
o,,,,,,ኦ,,,,,,,
u,,,,,,ኡ,,,,,,,
