KEY,+[eE],+[uU],+[iI],+[aA],+[iI][eE],_,+[oO],+[oO][aA],+[uU][eE],+[uU][uU],+[uU][iI],+[uU][aA],+[uU][iI][eE]
h,ሀ,ሁ,ሂ,ሃ,ሄ,ህ,ሆ, ,ኈ,ኍ,ኊ,ኋ,ኌ
[lL],ለ,ሉ,ሊ,ላ,ሌ,ል,ሎ, , , , ,ሏ, 
H,ሐ,ሑ,ሒ,ሓ,ሔ,ሕ,ሖ, , , , ,ሗ, 
[mM],መ,ሙ,ሚ,ማ,ሜ,ም,ሞ, , , , ,ሟ, 
ss,ሠ,ሡ,ሢ,ሣ,ሤ,ሥ,ሦ, , , , ,ሧ, 
[rR],ረ,ሩ,ሪ,ራ,ሬ,ር,ሮ, , , , ,ሯ, 
s,ሰ,ሱ,ሲ,ሳ,ሴ,ስ,ሶ, , , , ,ሷ, 
[xX],ሸ,ሹ,ሺ,ሻ,ሼ,ሽ,ሾ, , , , ,ሿ, 
q,ቀ,ቁ,ቂ,ቃ,ቄ,ቅ,ቆ, ,ቈ,ቍ,ቊ,ቋ,ቌ
Q,ቐ,ቑ,ቒ,ቓ,ቔ,ቕ,ቖ, ,ቘ,ቝ,ቚ,ቛ,ቜ
[bB],በ,ቡ,ቢ,ባ,ቤ,ብ,ቦ, , , , ,ቧ, 
[vV],ቨ,ቩ,ቪ,ቫ,ቬ,ቭ,ቮ, , , , ,ቯ, 
t,ተ,ቱ,ቲ,ታ,ቴ,ት,ቶ, , , , ,ቷ, 
c,ቸ,ቹ,ቺ,ቻ,ቼ,ች,ቾ, , , , ,ቿ, 
hh,ኀ,ኁ,ኂ,ኃ,ኄ,ኅ,ኆ, ,ኈ,ኍ,ኊ,ኋ,ኌ
n,ነ,ኑ,ኒ,ና,ኔ,ን,ኖ, , , , ,ኗ, 
N,ኘ,ኙ,ኚ,ኛ,ኜ,ኝ,ኞ, , , , ,ኟ, 
a,እ,ኡ,ኢ,ኣ,ኤ,አ,ኦ, , , , , , 
k,ከ,ኩ,ኪ,ካ,ኬ,ክ,ኮ, ,ኰ,ኵ,ኲ,ኳ,ኴ
K,ኸ,ኹ,ኺ,ኻ,ኼ,ኽ,ኾ, ,ዀ,ዅ,ዂ,ዃ,ዄ
[wW],ወ,ዉ,ዊ,ዋ,ዌ,ው,ዎ, , , , , , 
A,ዕ,ዑ,ዒ,ዓ,ዔ,ዐ,ዖ, , , , , , 
z,ዘ,ዙ,ዚ,ዛ,ዜ,ዝ,ዞ, , , , ,ዟ, 
Z,ዠ,ዡ,ዢ,ዣ,ዤ,ዥ,ዦ, , , , ,ዧ, 
[yY],የ,ዩ,ዪ,ያ,ዬ,ይ,ዮ, , , , , , 
[dD],ደ,ዱ,ዲ,ዳ,ዴ,ድ,ዶ, , , , ,ዷ, 
[jJ],ጀ,ጁ,ጂ,ጃ,ጄ,ጅ,ጆ, , , , ,ጇ, 
[gG],ገ,ጉ,ጊ,ጋ,ጌ,ግ,ጎ, ,ጐ,ጕ,ጒ,ጓ,ጔ
T,ጠ,ጡ,ጢ,ጣ,ጤ,ጥ,ጦ, , , , ,ጧ, 
C,ጨ,ጩ,ጪ,ጫ,ጬ,ጭ,ጮ, , , , ,ጯ, 
P,ጰ,ጱ,ጲ,ጳ,ጴ,ጵ,ጶ, , , , ,ጷ, 
S,ጸ,ጹ,ጺ,ጻ,ጼ,ጽ,ጾ, , , , ,ጿ, 
SS,ፀ,ፁ,ፂ,ፃ,ፄ,ፅ,ፆ, , , , , , 
[fF],ፈ,ፉ,ፊ,ፋ,ፌ,ፍ,ፎ, , , , ,ፏ, 
p,ፐ,ፑ,ፒ,ፓ,ፔ,ፕ,ፖ, , , , ,ፗ, 
e,,,,,,እ,,,,,,,
i,ኤ,,,,,ኢ,,,,,,,
o,,,,,,ኦ,,,,,,,
u,,,,,,ኡ,,,,,,,
E,,,,,,ዕ,,,,,,,
I,ዔ,,,,,ዒ,,,,,,,
O,,,,,,ዖ,,,,,,,
U,,,,,,ዑ,,,,,,,
