KEY,+[eE],+[uU],+[iI],+[aA],+[iI][eE],_,+[oO],+[oO][aA],+[uU][eE],+[uU][uU],+[uU][iI],+[uU][aA],+[uU][iI][eE]
h,ሀ,ሁ,ሂ,ሃ,ሄ,ህ,ሆ, , , , , , 
[lL],ለ,ሉ,ሊ,ላ,ሌ,ል,ሎ, , , , ,ሏ, 
H,ሐ,ሑ,ሒ,ሓ,ሔ,ሕ,ሖ, , , , ,ሗ, 
[mM],መ,ሙ,ሚ,ማ,ሜ,ም,ሞ, , , , ,ሟ, 
s,ሰ,ሱ,ሲ,ሳ,ሴ,ስ,ሶ, , , , ,ሷ, 
[rR],ረ,ሩ,ሪ,ራ,ሬ,ር,ሮ, , , , ,ሯ, 
[xX],ሸ,ሹ,ሺ,ሻ,ሼ,ሽ,ሾ, , , , ,ሿ, 
q,ቀ,ቁ,ቂ,ቃ,ቄ,ቅ,ቆ, ,ቈ,ቍ,ቊ,ቋ,ቌ
Q,ቐ,ቑ,ቒ,ቓ,ቔ,ቕ,ቖ, ,ቘ,ቝ,ቚ,ቛ,ቜ
[bB],በ,ቡ,ቢ,ባ,ቤ,ብ,ቦ, , , , ,ቧ, 
t,ተ,ቱ,ቲ,ታ,ቴ,ት,ቶ, , , , ,ቷ, 
n,ነ,ኑ,ኒ,ና,ኔ,ን,ኖ, , , , ,ኗ, 
a,እ,ኡ,ኢ,ኣ,ኤ,አ,ኦ, , , , , , 
k,ከ,ኩ,ኪ,ካ,ኬ,ክ,ኮ, ,ኰ,ኵ,ኲ,ኳ,ኴ
K,ኸ,ኹ,ኺ,ኻ,ኼ,ኽ,ኾ, ,ዀ,ዅ,ዂ,ዃ,ዄ
[wW],ወ,ዉ,ዊ,ዋ,ዌ,ው,ዎ, , , , , , 
A,ዕ,ዑ,ዒ,ዓ,ዔ,ዐ,ዖ, , , , , , 
[yY],የ,ዩ,ዪ,ያ,ዬ,ይ,ዮ, , , , , , 
[dD],ደ,ዱ,ዲ,ዳ,ዴ,ድ,ዶ, , , , ,ዷ, 
[jJ],ጀ,ጁ,ጂ,ጃ,ጄ,ጅ,ጆ, , , , ,ጇ, 
g,ገ,ጉ,ጊ,ጋ,ጌ,ግ,ጎ, ,ጐ,ጕ,ጒ,ጓ,ጔ
G,ጘ,ጙ,ጚ,ጛ,ጜ,ጝ,ጞ, ,ⶓ,ⶖ,ⶔ,ጟ,ⶕ
T,ጠ,ጡ,ጢ,ጣ,ጤ,ጥ,ጦ, , , , ,ጧ, 
C,ጨ,ጩ,ጪ,ጫ,ጬ,ጭ,ጮ, , , , ,ጯ, 
[fF],ፈ,ፉ,ፊ,ፋ,ፌ,ፍ,ፎ, , , , ,ፏ, 
c,ቸ,ቹ,ቺ,ቻ,ቼ,ች,ቾ, , , , ,ቿ, 
N,ኘ,ኙ,ኚ,ኛ,ኜ,ኝ,ኞ, , , , ,ኟ, 
z,ዘ,ዙ,ዚ,ዛ,ዜ,ዝ,ዞ, , , , ,ዟ, 
Z,ዠ,ዡ,ዢ,ዣ,ዤ,ዥ,ዦ, , , , ,ዧ, 
S,ጸ,ጹ,ጺ,ጻ,ጼ,ጽ,ጾ, , , , ,ጿ, 
P,ጰ,ጱ,ጲ,ጳ,ጴ,ጵ,ጶ, , , , ,ጷ, 
p,ፐ,ፑ,ፒ,ፓ,ፔ,ፕ,ፖ, , , , ,ፗ, 
[vV],ቨ,ቩ,ቪ,ቫ,ቬ,ቭ,ቮ, , , , ,ቯ, 
e,,,,,,እ,,,,,,,
i,ኤ,,,,,ኢ,,,,,,,
o,,,,,,ኦ,,,,,,,
u,,,,,,ኡ,,,,,,,
E,,,,,,ዕ,,,,,,,
I,ዔ,,,,,ዒ,,,,,,,
O,,,,,,ዖ,,,,,,,
U,,,,,,ዑ,,,,,,,
