KEY,+[eE],+[uU],+[iI],+[aA],+[iI][eE],_,+[oO],+[oO][aA],+[uU][eE],+[uU][uU],+[uU][iI],+[uU][aA],+[uU][iI][eE]
h,ሀ,ሁ,ሂ,ሃ,ሄ,ህ,ሆ, ,ኈ,ኍ,ኊ,ኋ,ኌ
[lL],ለ,ሉ,ሊ,ላ,ሌ,ል,ሎ, , , , ,ሏ, 
H,ሐ,ሑ,ሒ,ሓ,ሔ,ሕ,ሖ, , , , ,ሗ, 
[mM],መ,ሙ,ሚ,ማ,ሜ,ም,ሞ, , , , ,ሟ, 
ss,ሠ,ሡ,ሢ,ሣ,ሤ,ሥ,ሦ, , , , ,ሧ, 
[rR],ረ,ሩ,ሪ,ራ,ሬ,ር,ሮ, , , , ,ሯ, 
s,ሰ,ሱ,ሲ,ሳ,ሴ,ስ,ሶ, , , , ,ሷ, 
[qQ],ቀ,ቁ,ቂ,ቃ,ቄ,ቅ,ቆ, ,ቈ,ቍ,ቊ,ቋ,ቌ
[bB],በ,ቡ,ቢ,ባ,ቤ,ብ,ቦ, , , , ,ቧ, 
t,ተ,ቱ,ቲ,ታ,ቴ,ት,ቶ, , , , ,ቷ, 
[xX],ኀ,ኁ,ኂ,ኃ,ኄ,ኅ,ኆ, ,ኈ,ኍ,ኊ,ኋ,ኌ
hh,ኀ,ኁ,ኂ,ኃ,ኄ,ኅ,ኆ, ,ኈ,ኍ,ኊ,ኋ,ኌ
[nN],ነ,ኑ,ኒ,ና,ኔ,ን,ኖ, , , , ,ኗ, 
a,እ,ኡ,ኢ,ኣ,ኤ,አ,ኦ, , , , , , 
[kK],ከ,ኩ,ኪ,ካ,ኬ,ክ,ኮ, ,ኰ,ኵ,ኲ,ኳ,ኴ
[wW],ወ,ዉ,ዊ,ዋ,ዌ,ው,ዎ, , , , , , 
A,ዕ,ዑ,ዒ,ዓ,ዔ,ዐ,ዖ, , , , , , 
[zZ],ዘ,ዙ,ዚ,ዛ,ዜ,ዝ,ዞ, , , , ,ዟ, 
[yY],የ,ዩ,ዪ,ያ,ዬ,ይ,ዮ, , , , , , 
d,ደ,ዱ,ዲ,ዳ,ዴ,ድ,ዶ, , , , ,ዷ, 
[gG],ገ,ጉ,ጊ,ጋ,ጌ,ግ,ጎ, ,ጐ,ጕ,ጒ,ጓ,ጔ
T,ጠ,ጡ,ጢ,ጣ,ጤ,ጥ,ጦ, , , , ,ጧ, 
P,ጰ,ጱ,ጲ,ጳ,ጴ,ጵ,ጶ, , , , ,ጷ, 
S,ጸ,ጹ,ጺ,ጻ,ጼ,ጽ,ጾ, , , , ,ጿ, 
D,ፀ,ፁ,ፂ,ፃ,ፄ,ፅ,ፆ, , , , , , 
SS,ፀ,ፁ,ፂ,ፃ,ፄ,ፅ,ፆ, , , , , , 
[fF],ፈ,ፉ,ፊ,ፋ,ፌ,ፍ,ፎ, , , , ,ፏ, 
p,ፐ,ፑ,ፒ,ፓ,ፔ,ፕ,ፖ, , , , ,ፗ, 
e,,,,,,እ,,,,,,,
i,ኤ,,,,,ኢ,,,,,,,
o,,,,,,ኦ,,,,,,,
u,,,,,,ኡ,,,,,,,
E,,,,,,ዕ,,,,,,,
I,ዔ,,,,,ዒ,,,,,,,
O,,,,,,ዖ,,,,,,,
U,,,,,,ዑ,,,,,,,
