KEY,+[eE],+[uU],+[iI],+[aA],+[iI][eE],_,+[oO],+[oO][aA],+[uU][eE],+[uU][uU],+[uU][iI],+[uU][aA],+[uU][iI][eE]
[hH],ሐ,ሑ,ሒ,ሓ,ሔ,ሕ,ሖ, , , , , , 
[lL],ለ,ሉ,ሊ,ላ,ሌ,ል,ሎ, , , , , , 
[mM],መ,ሙ,ሚ,ማ,ሜ,ም,ሞ, , , , , , 
[rR],ረ,ሩ,ሪ,ራ,ሬ,ር,ሮ, , , , , , 
[sS],ሰ,ሱ,ሲ,ሳ,ሴ,ስ,ሶ, , , , , , 
[xX],ሸ,ሹ,ሺ,ሻ,ሼ,ሽ,ሾ, , , , , , 
[qQ],ቀ,ቁ,ቂ,ቃ,ቄ,ቅ,ቆ, , , , , , 
[bBvVpP],በ,ቡ,ቢ,ባ,ቤ,ብ,ቦ, , , , , , 
t,ተ,ቱ,ቲ,ታ,ቴ,ት,ቶ, , , , , , 
c,ቸ,ቹ,ቺ,ቻ,ቼ,ች,ቾ, , , , , , 
n,ነ,ኑ,ኒ,ና,ኔ,ን,ኖ, , , , , , 
N,ኘ,ኙ,ኚ,ኛ,ኜ,ኝ,ኞ, , , , , , 
a,እ,ኡ,ኢ,ኣ,ኤ,አ,ኦ, , , , , , 
k,ከ,ኩ,ኪ,ካ,ኬ,ክ,ኮ, , , , , , 
K,ኸ,ኹ,ኺ,ኻ,ኼ,ኽ,ኾ, , , , , , 
[wW],ወ,ዉ,ዊ,ዋ,ዌ,ው,ዎ, , , , , , 
[zZ],ዘ,ዙ,ዚ,ዛ,ዜ,ዝ,ዞ, , , , , , 
[yY],የ,ዩ,ዪ,ያ,ዬ,ይ,ዮ, , , , , , 
[dD],ደ,ዱ,ዲ,ዳ,ዴ,ድ,ዶ, , , , , , 
[jJ],ጀ,ጁ,ጂ,ጃ,ጄ,ጅ,ጆ, , , , , , 
[gG],ገ,ጉ,ጊ,ጋ,ጌ,ግ,ጎ, , , , , , 
T,ጠ,ጡ,ጢ,ጣ,ጤ,ጥ,ጦ, , , , , , 
C,ጨ,ጩ,ጪ,ጫ,ጬ,ጭ,ጮ, , , , , , 
[fF],ፈ,ፉ,ፊ,ፋ,ፌ,ፍ,ፎ, , , , , , 
e,,,,,,እ,,,,,,,
i,ኤ,,,,,ኢ,,,,,,,
o,,,,,,ኦ,,,,,,,
u,,,,,,ኡ,,,,,,,
